design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,300,ppi_hard,7,0.016596851362887376,0.0024544618327877353,0.010517736135968878,1.0,0.0468202819409701,5
srs,300,ppi_hard,8,0.3328800301760934,0.002352309548988407,0.0060394419071028455,1.0,0.02287301191689961,5
srs,300,ppi_hard,10,0.0074149808421512375,-0.0015403069009712529,0.003082150140643159,1.0,0.021766644083672064,5
srs,300,ppi_hard,12,0.016596851362887376,-0.0014000213515375428,0.0025360272426962586,0.6,0.013380979240718571,5
srs,300,ppi_hard,13,0.007931150860614243,-0.0012644841939475763,0.0024583255929977415,1.0,0.018162791916810795,5
srs,300,ppi_soft,2,0.1908141589406603,0.0004953269875209776,0.00927743031740923,1.0,0.044805775997799814,5
srs,300,ppi_soft,3,0.020577316312957852,0.0005291571620068755,0.003130936295466954,1.0,0.016581255587430913,5
srs,300,ppi_soft,4,0.20052212582636836,0.002461827133211608,0.0075058072116542425,1.0,0.052562384010795646,5
srs,300,ppi_soft,5,0.011832205038613488,-0.003765265130706816,0.0041794868212913765,1.0,0.025560163398925632,5
srs,300,ppi_soft,6,0.1948343292767664,0.0032912200764161183,0.012163627154464776,1.0,0.06128315294228629,5
srs,300,ppi_soft,7,0.016596851362887376,-0.0021461044691891773,0.006326358738157024,1.0,0.03285484780021728,5
srs,300,ppi_soft,8,0.3328800301760934,0.0032388508012335506,0.004769221066007825,1.0,0.021466796584437463,5
srs,300,ppi_soft,10,0.0074149808421512375,-0.0012715659586881966,0.003115637765064803,1.0,0.016718085155376615,5
srs,300,ppi_soft,12,0.016596851362887376,-0.0015688691855569447,0.0016777667789522233,1.0,0.0147450123798853,5
srs,300,ppi_soft,13,0.007931150860614243,-0.0012644841939475763,0.0024583255929977415,1.0,0.018162791916810795,5
srs,300,ppipp_soft,2,0.1908141589406603,0.00048311084352675173,0.009275792607661242,1.0,0.04481366848896621,5
srs,300,ppipp_soft,3,0.020577316312957852,-0.002163097187528781,0.0036168466778197686,1.0,0.017832705369591684,5
srs,300,ppipp_soft,4,0.20052212582636836,0.002417489803480927,0.007531688641179246,1.0,0.0525920242963153,5
srs,300,ppipp_soft,5,0.011832205038613488,-0.00452688927934354,0.005587701727367516,0.6,0.021037606085812306,5
srs,300,ppipp_soft,6,0.1948343292767664,0.0032912200764161183,0.012163627154464776,1.0,0.06128315294228629,5
srs,300,ppipp_soft,7,0.016596851362887376,-0.006219214549693319,0.00759158159840018,0.6,0.019290343396057848,5
srs,300,ppipp_soft,8,0.3328800301760934,0.0026622361286688045,0.004140448781267666,1.0,0.021706131324678534,5
srs,300,ppipp_soft,10,0.0074149808421512375,-0.0017257228153054083,0.003274850274026818,1.0,0.014003283592943006,5
srs,300,ppipp_soft,12,0.016596851362887376,-0.0027789344152055985,0.0033771820040663135,1.0,0.01458884830326308,5
srs,300,ppipp_soft,13,0.007931150860614243,-0.0012644841939475763,0.0024583255929977415,1.0,0.018162791916810795,5
srs,300,stratppi,2,0.1908141589406603,0.0030562725144899884,0.008679328902238511,1.0,0.04315202575186268,5
srs,300,stratppi,3,0.020577316312957852,0.0015171147151776358,0.004285415307653499,0.8,0.019356850598208363,5
srs,300,stratppi,4,0.20052212582636836,0.0021374835556330074,0.007652928628720345,1.0,0.04975624938120139,5
srs,300,stratppi,5,0.011832205038613488,-0.001991756553098709,0.004395037912378831,0.8,0.015915876233666283,5
srs,300,stratppi,6,0.1948343292767664,0.0007793951610944372,0.006952951938327492,1.0,0.05776304126320333,5
srs,300,stratppi,7,0.016596851362887376,-0.00532868161951443,0.0068655591620189705,0.8,0.021913940316736956,5
srs,300,stratppi,8,0.3328800301760934,0.0030169847913929073,0.005424763086607576,1.0,0.018219625263946094,5
srs,300,stratppi,10,0.0074149808421512375,-0.001627193887855496,0.0033133882937331715,1.0,0.012995487632671766,5
srs,300,stratppi,12,0.016596851362887376,-0.0029047010119220536,0.003514918502174972,0.6,0.013929333696767349,5
srs,300,stratppi,13,0.007931150860614243,-0.001408471375692462,0.0026893332510493635,1.0,0.015146352642184963,5
srs,300,xppi_aef,2,0.1908141589406603,0.0007408529758132498,0.009211731277238705,1.0,0.05790285644829704,2
srs,300,xppi_aef,3,0.020577316312957852,-0.005418719653846623,0.00543096533665134,1.0,0.02109587622667946,2
srs,300,xppi_aef,4,0.20052212582636836,-0.00029137077885903195,0.0020731413995120486,1.0,0.0500938013207011,2
srs,300,xppi_aef,5,0.011832205038613488,-0.0012155334731280805,0.007466948593361184,0.5,0.023140903435131442,2
