design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,300,xppi_aef,8,0.3328800301760934,-9.250614611062192e-05,0.007008671828431341,0.93,0.028158195805217758,100
srs,300,xppi_aef,10,0.0074149808421512375,0.0007056861930532901,0.00427889249335893,0.93,0.017995704035473934,100
srs,300,xppi_aef,12,0.016596851362887376,0.0008538484054242509,0.005789255950802014,0.93,0.02117921041810114,100
srs,300,xppi_aef,13,0.007931150860614243,-0.00043762960889366843,0.004859173872999501,0.89,0.017740786336779557,100
srs,300,xppi_pcal,2,0.1908141589406603,-0.002361392616074409,0.013287441185221668,0.94,0.051067973261682297,100
srs,300,xppi_pcal,3,0.020577316312957852,-0.00012772581442728576,0.00593634763300572,0.86,0.020752997264187775,100
srs,300,xppi_pcal,4,0.20052212582636836,0.0020341409087828565,0.01292507149855918,0.97,0.049304647674280284,100
srs,300,xppi_pcal,5,0.011832205038613488,-1.271660043403699e-05,0.006157395273777135,0.84,0.02159565553841611,100
srs,300,xppi_pcal,6,0.1948343292767664,0.000524436362529388,0.0145542681015441,0.97,0.061908405123733926,100
srs,300,xppi_pcal,7,0.016596851362887376,-0.0007022130923889097,0.007379724089035866,0.87,0.025668651681851964,100
srs,300,xppi_pcal,8,0.3328800301760934,0.0006406647745048105,0.006494777424796705,0.95,0.02549045482321117,100
srs,300,xppi_pcal,10,0.0074149808421512375,0.0009484593416688203,0.0041195903374716784,0.9,0.016772977380905104,100
srs,300,xppi_pcal,12,0.016596851362887376,-0.0001016796567636883,0.005310383894015679,0.89,0.018587861918575553,100
srs,300,xppi_pcal,13,0.007931150860614243,-0.000841973607397576,0.005144372004003055,0.88,0.017965365260361417,100
srs,1000,classical,2,0.1908141589406603,3.784105933968851e-05,0.012915244014178437,0.938,0.04866991218983803,500
srs,1000,classical,3,0.020577316312957852,8.468368704214768e-05,0.0044184756791059805,0.95,0.017525082786380902,500
srs,1000,classical,4,0.20052212582636836,-0.00047012582636835715,0.011925532033943748,0.962,0.04955396367733061,500
srs,1000,classical,5,0.011832205038613488,-9.020503861348771e-05,0.003643017011899788,0.92,0.013182389531798512,500
srs,1000,classical,6,0.1948343292767664,-0.0009363292767663885,0.012699145975794196,0.954,0.04896703671615341,500
srs,1000,classical,7,0.016596851362887376,-8.485136288737568e-05,0.003898853133138493,0.944,0.01567792503183595,500
srs,1000,classical,8,0.3328800301760934,0.0012699698239065933,0.014838474428108612,0.952,0.05843820487747049,500
srs,1000,classical,10,0.0074149808421512375,-2.0980842151237488e-05,0.0027862527156985195,0.92,0.010413348054032717,500
srs,1000,classical,12,0.016596851362887376,0.00029914863711262427,0.003989319980533818,0.944,0.015859816392348503,500
srs,1000,classical,13,0.007931150860614243,-8.915086061424275e-05,0.00279445591769637,0.892,0.010749214570832142,500
srs,1000,map_count,2,0.1908141589406603,0.001181235234559569,0.001181235234559569,,,500
srs,1000,map_count,3,0.020577316312957852,0.0029779039526711786,0.0029779039526711786,,,500
srs,1000,map_count,4,0.20052212582636836,-0.027972444462091295,0.0279724444620913,,,500
srs,1000,map_count,5,0.011832205038613488,0.018453078160052414,0.018453078160052414,,,500
srs,1000,map_count,6,0.1948343292767664,-0.03718409402235412,0.03718409402235412,,,500
srs,1000,map_count,7,0.016596851362887376,0.04642552262214369,0.04642552262214369,,,500
srs,1000,map_count,8,0.3328800301760934,-0.0010124873439082416,0.0010124873439082416,,,500
srs,1000,map_count,10,0.0074149808421512375,0.0064620515772964605,0.00646205157729646,,,500
srs,1000,map_count,12,0.016596851362887376,-0.0013996148577554539,0.0013996148577554539,,,500
srs,1000,map_count,13,0.007931150860614243,-0.007931150860614243,0.007931150860614244,,,500
srs,1000,olofsson,2,0.1908141589406603,-0.0002822984049362121,0.006862681792856574,0.958,0.027325841753134926,500
srs,1000,olofsson,3,0.020577316312957852,0.00011236850123552454,0.002808919079997007,0.944,0.010905821307687158,500
srs,1000,olofsson,4,0.20052212582636836,-4.868440822696235e-05,0.007240037094493932,0.946,0.028441570940166944,500
srs,1000,olofsson,5,0.011832205038613488,-0.00014132683488818278,0.0031921049300424444,0.926,0.012012690890041615,500
srs,1000,olofsson,6,0.1948343292767664,0.00021043202195120708,0.00873807377909601,0.94,0.034007411813088154,500
srs,1000,olofsson,7,0.016596851362887376,2.648709441410223e-05,0.0036341846114794018,0.936,0.014415808072926636,500
srs,1000,olofsson,8,0.3328800301760934,-4.952842678914959e-05,0.0031202245125128447,0.948,0.01234048469544969,500
srs,1000,olofsson,10,0.0074149808421512375,4.27365070437189e-05,0.0023282459625302,0.924,0.008639532441496173,500
srs,1000,olofsson,12,0.016596851362887376,0.00014391249153372299,0.002181211652806219,0.958,0.009078180001997997,500
srs,1000,olofsson,13,0.007931150860614243,-1.409854133781875e-05,0.0026982426892020375,0.924,0.010295980347116878,500
srs,1000,ppi_hard,2,0.1908141589406603,-0.0004718238761940619,0.007014372659795305,0.97,0.029282762278566025,500
srs,1000,ppi_hard,3,0.020577316312957852,0.00014853779062939376,0.003008981811812907,0.95,0.011961890898921062,500
